age,birthdate,birthplace,category,hand,height,id,links,name,nationality,photo_url,points,ranking,short_name,side,updated_at,url
24,2001-12-13,,men,,,1285,,Adilyar Muzdybayev,KZ,,28,750,Muzdybayev,,2026-07-13T14:00:35+02:00,
35,1990-11-19,Barcelona,men,right,173,258,,Adria Mercadal,ES,https://storage.googleapis.com/fantasypadeltour/player-api/adria-mercadal.webp,8,1474,Mercadal,drive,2026-07-13T14:00:45+02:00,https://fantasypadeltour.com/rankings/132/adria-mercadal
45,1980-12-28,,men,,,1874,,Adrian Allemandi,AR,,32,691,Allemandi,,2026-07-13T14:00:33+02:00,
21,2004-12-13,,men,,,1873,,Adrian Baamonde,ES,,114,326,Baamonde,,2026-07-13T14:00:24+02:00,
25,2001-07-10,,men,,,2077,,Adrian Garcia Caballero,ES,,25,800,Garcia,,2026-07-13T14:00:35+02:00,
20,2005-09-23,,men,,,1556,,Adrian Maria Miranda,PY,,35,649,Miranda,,2026-07-13T14:00:32+02:00,
24,2002-06-20,Palma de Mallorca,men,right,175,282,,Adrian Marques Berdonce,ES,https://storage.googleapis.com/fantasypadeltour/player-api/adrian-marques-berdonce.webp,713,94,Marques,drive,2026-07-13T14:00:19+02:00,https://fantasypadeltour.com/rankings/145/adrian-marques-berdonce
19,2007-06-19,,men,,,1961,,Adrian Molina Lopez,ES,,170,250,Molina,,2026-07-13T14:00:23+02:00,
19,2006-10-31,Valencia,men,,180,132,,Adrian Naranjo Martinez,ES,,459,124,Naranjo,drive,2026-07-13T14:00:20+02:00,
23,2003-03-13,Valencia,men,,182,630,,Adrian Rodriguez rodriguez-Manzaneque,ES,https://storage.googleapis.com/fantasypadeltour/player-api/adrian-rodriguez-rodriguez-manzaneque.webp,184,236,Rodriguez,backhand,2026-07-15T16:03:44+02:00,
28,1997-10-31,Madrid,men,,179,300,,Adrian Ronco Lopez,ES,https://storage.googleapis.com/fantasypadeltour/player-api/adrian-ronco-lopez.webp,410,142,Ronco,drive,2026-07-13T14:00:20+02:00,
39,1987-06-24,París,men,,190,333,,Adrien Maigret,FR,,97,361,Maigret,backhand,2026-07-13T14:00:25+02:00,
27,1998-07-18,Lisboa,men,,181,354,,Afonso Fazendeiro,PT,,200,224,Fazendeiro,backhand,2026-07-13T14:00:22+02:00,
17,2009-06-23,,men,,,2025,,Agustin Esteban Silva,AR,,6,1738,Esteban,,2026-07-13T14:00:48+02:00,
21,2005-07-10,Mar del Plata,men,,186,1545,,Agustin Gallardo,AR,,29,735,Gallardo,backhand,2026-07-13T14:00:34+02:00,
42,1983-08-01,La Plata,men,,186,249,,Agustin Gomez Silingo,AR,https://storage.googleapis.com/fantasypadeltour/player-api/agustin-gomez-silingo.webp,0,2731,Gomez,backhand,2026-07-07T00:04:43+02:00,
28,1998-01-07,San Luis,men,right,175,92,,Agustin Gutierrez,AR,https://storage.googleapis.com/fantasypadeltour/player-api/agustin-gutierrez.webp,752,89,Gutierrez,backhand,2026-07-13T14:00:19+02:00,https://fantasypadeltour.com/rankings/26/agustin-gutierrez
,,,men,,,2447,,Agustín Leonel Correa Bayona,AR,,10,1329,Leonel,,2026-07-13T14:00:43+02:00,
22,2003-11-22,Madrid,men,,195,532,,Agustin Reca,DE,,339,168,Reca,drive,2026-07-14T08:05:02+02:00,
30,1996-06-01,,men,,,2028,,Agustin Sanchez,AR,,19,934,Sanchez,,2026-07-13T14:00:38+02:00,
26,1999-07-24,Catamarca,men,right,179,66,,Agustin Tapia,AR,https://storage.googleapis.com/fantasypadeltour/player-api/agustin-tapia.webp,21409,1,Tapia,backhand,2026-07-13T14:00:17+02:00,https://fantasypadeltour.com/rankings/3/agustin-tapia
31,1994-10-18,Olavarría,men,right,182,64,,Agustin Torre,AR,https://storage.googleapis.com/fantasypadeltour/player-api/eduardo-agustin-torre.webp,1135,53,Torre,backhand,2026-07-15T08:05:02+02:00,https://fantasypadeltour.com/rankings/151/agustin-torre
35,1991-05-23,,men,,,2540,,Ahmed Al Barwani,OM,,13,1148,Al Barwani,,2026-07-13T14:00:41+02:00,
24,2001-08-18,,men,,,1392,,Ahmed El Derwy,EG,,5,1880,El Derwy,,2026-07-13T14:00:51+02:00,
21,2004-09-15,,men,,,1912,,Aidan Yunus,MY,,22,862,Yunus,,2026-07-13T14:00:37+02:00,
20,2005-10-13,Pamplona,men,right,190,465,,Aimar Goñi,ES,https://storage.googleapis.com/fantasypadeltour/player-api/aimar-goni.webp,1747,38,Goñi,backhand,2026-07-13T14:00:18+02:00,https://fantasypadeltour.com/rankings/158/aimar-goni
31,1994-09-10,Gerona,men,,181,266,,Aitor Garcia,ES,https://storage.googleapis.com/fantasypadeltour/player-api/aitor-garcia.webp,39,602,Garcia,backhand,2026-07-13T14:00:31+02:00,
23,2002-12-28,Buenos Aires,men,,186,670,,Alan Gabriel Ibarrola,AR,,25,800,Ibarrola,drive,2026-07-13T14:00:36+02:00,
,,,men,,,2483,,Alasdair Knox,IE,,5,1880,Knox,,2026-07-13T14:00:50+02:00,
28,1998-05-04,,men,,,1351,,Alban Mounier Alonso,FR,,10,1329,Mounier,,2026-07-13T14:00:44+02:00,
33,1993-07-04,,men,,,1849,,Alberto Bagarello,IT,,35,649,Bagarello,,2026-07-13T14:00:32+02:00,
24,2002-04-14,Albacete,men,,170,32,,Alberto Garcia Jimenez,ES,https://storage.googleapis.com/fantasypadeltour/player-api/alberto-garcia-jimenez.webp,394,145,Garcia,drive,2026-07-13T14:00:20+02:00,
20,2005-09-26,Gijón,men,,186,169,,Alberto Garcia Trabanco,ES,https://storage.googleapis.com/fantasypadeltour/player-api/alberto-garcia-trabanco.webp,519,111,Garcia,drive,2026-07-13T14:00:19+02:00,
25,2000-12-29,Zaragoza,men,,190,1343,,Alberto Gasca Romero,ES,,140,278,Gasca,backhand,2026-07-13T14:00:23+02:00,
17,2009-02-19,,men,,,2549,,Alberto Lastortres Mancilla,ES,,16,1008,Lastortres,,2026-07-13T14:00:39+02:00,
31,1995-07-08,,men,,,1859,,Alberto Micali,IT,,42,568,Micali,,2026-07-13T14:00:30+02:00,
23,2003-05-05,Madrid,men,,184,821,,Alberto Simon Garcia,ES,,21,889,Simon,drive,2026-07-13T14:00:37+02:00,
27,1998-11-13,Barcelona,men,,190,542,,Albert Roglan Pons,ES,,635,102,Roglan,drive,2026-07-15T08:05:02+02:00,
21,2005-02-18,Barcelona,men,,188,62,,Albert Trillas Garcia,ES,,261,196,Trillas,drive,2026-07-13T14:00:21+02:00,
24,2002-02-26,Eskilstuna,men,,201,189,,Albin Olsson,SE,,387,149,Olsson,drive,2026-07-13T14:00:20+02:00,
21,2004-12-17,,men,,,939,,Aldo Castelan,MX,,0,3241,Castelan,,2026-07-13T14:00:58+02:00,
21,2004-07-20,,men,,,1399,,Aleix Pozo Rius,ES,,124,304,Pozo,,2026-07-13T14:00:24+02:00,
32,1994-03-09,Ciudad de Mexico,men,,187,671,,Alejandro Alcaraz Gonzalez,MX,,29,735,Alcaraz,,2026-07-13T14:00:34+02:00,
24,2001-10-25,Valencia,men,right,188,102,,Alejandro Arroyo,ES,https://storage.googleapis.com/fantasypadeltour/player-api/alejandro-arroyo.webp,2237,27,Arroyo,backhand,2026-07-13T14:00:17+02:00,https://fantasypadeltour.com/rankings/30/alejandro-arroyo
18,2007-10-08,Jaen,men,,183,61,,Alejandro Calvo Perez,ES,,340,167,Calvo,backhand,2026-07-13T14:00:21+02:00,
22,2003-12-30,Valladolid,men,,178,168,,Alejandro Caton Calvo,ES,,0,3241,Caton,backhand,2026-07-13T14:00:58+02:00,
30,1996-07-06,,men,,,2276,,Alejandro Chaveli Canovas,ES,,13,1148,Chaveli,,2026-07-15T20:01:47+02:00,
23,2003-04-29,,men,,,2105,,Alejandro Correa,ES,,51,518,Correa,,2026-07-13T14:00:29+02:00,
30,1996-05-15,Madrid,men,right,186,115,,Alejandro Galan,ES,https://storage.googleapis.com/fantasypadeltour/player-api/alejandro-galan.webp,17677,3,Galan,backhand,2026-07-13T14:00:17+02:00,https://fantasypadeltour.com/rankings/1/alejandro-galan
17,2008-12-18,,men,,,712,,Alejandro Garcia Calahorro,ES,,211,221,Garcia,,2026-07-14T08:05:02+02:00,
24,2002-04-14,,men,,,1386,,Alejandro Guinaldo Martin,ES,,151,261,Guinaldo,,2026-07-13T14:00:23+02:00,
20,2005-10-05,Málaga,men,left,186,123,,Alejandro Jerez Carnero,ES,,384,150,Jerez,drive,2026-07-13T14:00:20+02:00,https://fantasypadeltour.com/rankings/163/alejandro-jerez-carnero
18,2007-10-04,Salamanca,men,,185,1272,,Alejandro Merino Nieto,ES,,382,151,Merino,drive,2026-07-13T14:00:20+02:00,
24,2002-06-13,Madrid,men,,170,1928,,Alejandro Navas Balaguer,ES,,49,524,Navas,drive,2026-07-13T14:00:29+02:00,
33,1992-07-24,,men,,,758,,Alejandro Ochoa Garcia,MX,,10,1329,Ochoa,,2026-07-13T14:00:43+02:00,
,,,men,,,2472,,Alejandro Pujante Doom,ES,,5,1880,Pujante,,2026-07-13T14:00:49+02:00,
27,1999-01-09,Benidorm,men,,173,295,,Alejandro Tasa Van Beek,ES,,36,632,Tasa,backhand,2026-07-13T14:00:31+02:00,
26,1999-10-08,Zaragoza,men,,171,1342,,Alejandro Urzola Abad,ES,,119,311,Urzola,drive,2026-07-13T14:00:24+02:00,
30,1996-04-01,,men,,,2104,,Alejandro Zaragoza Madrid,ES,,31,709,Zaragoza,,2026-07-13T14:00:33+02:00,
31,1995-01-20,,men,,,2181,,Alensio Serjani,AL,,25,800,Serjani,,2026-07-13T14:00:36+02:00,
22,2003-11-04,Desenzano del Garda,men,,185,2296,,Alessandro Ciaccia,IT,,17,983,Ciaccia,,2026-07-13T14:00:39+02:00,
23,2002-11-11,,men,,,1456,,Alessandro Ferrero,IT,,39,602,Ferrero,,2026-07-13T14:00:31+02:00,
18,2008-03-03,,men,,,1861,,Alessandro Pirrotta,IT,,30,719,Pirrotta,,2026-07-13T14:00:34+02:00,
16,2009-08-27,,men,,,2368,,Alessandro Stella,IT,,8,1474,Stella,,2026-07-13T14:00:45+02:00,
16,2009-11-29,,men,,,2451,,Alessandro Zaccagnino,IT,,26,787,Zaccagnino,,2026-07-13T14:00:35+02:00,
26,2000-04-17,,men,,,958,,Alexander Espinoza Palmeros,MX,,0,3241,Espinoza,,2026-07-13T14:01:00+02:00,
31,1995-07-04,Glasgow,men,,198,2135,,Alexander Loughlan,GB,,129,295,Loughlan,backhand,2026-07-13T14:00:24+02:00,
29,1996-12-08,,men,,,2294,,Alexandre Toppin,FR,,15,1052,Toppin,,2026-07-13T14:00:40+02:00,
28,1998-01-10,,men,,,2072,,Alexandre Valentin,BE,,7,1680,Valentin,,2026-07-13T14:00:47+02:00,
18,2007-08-13,Cantabria,men,,190,1924,,Alex Blanco Sollet,ES,,129,295,Blanco,drive,2026-07-13T14:00:24+02:00,
22,2003-07-18,Hurlingham,men,right,186,112,,Alex Chozas,AR,https://storage.googleapis.com/fantasypadeltour/player-api/alex-chozas.webp,2209,28,Chozas,backhand,2026-07-15T08:05:02+02:00,https://fantasypadeltour.com/rankings/118/alex-chozas
25,2001-03-13,,men,,,1359,,Alexis Coulombeau,FR,,20,912,Coulombeau,,2026-07-13T14:00:37+02:00,
,,,men,,,2541,,Alex Romero Alegre,AR,,,,Romero,,2026-07-12T08:05:03+02:00,
32,1994-06-12,Málaga,men,left,187,111,,Alex Ruiz,ES,https://storage.googleapis.com/fantasypadeltour/player-api/alex-ruiz.webp,2549,21,Ruiz,drive,2026-07-13T14:00:17+02:00,https://fantasypadeltour.com/rankings/13/alex-ruiz
20,2005-12-21,,men,,,2366,,Alex Tur Checa,ES,,32,691,Tur Checa,,2026-07-13T14:00:33+02:00,
24,2002-01-11,,men,,,1389,,Aley Shokeir,EG,,36,632,Shokeir,,2026-07-13T14:00:32+02:00,
21,2004-11-19,,men,,,1967,,Alfonso Diaz Ponce,ES,,53,507,Diaz,,2026-07-13T14:00:29+02:00,
25,2000-07-28,,men,,,2176,,Alfonso Patacho,GB,,14,1100,Patacho,,2026-07-13T14:00:41+02:00,
27,1998-08-10,Valladolid,men,,178,387,,Alfonso Sanchez Arriaga,ES,,478,117,Sanchez,backhand,2026-07-13T14:00:20+02:00,
33,1992-11-13,,men,,,2279,,Ali Ahmed,ZZ,,14,1100,Ahmed,,2026-07-13T14:00:40+02:00,
22,2004-01-31,,men,,,1206,,Ali Alburayh,SA,,22,862,Alburayh,,2026-07-13T14:00:37+02:00,
30,1996-02-12,,men,,,308,,Ali Alsaygh,QA,https://storage.googleapis.com/fantasypadeltour/player-api/ali-alsaygh.webp,0,2731,Alsaygh,,2026-07-04T20:01:50+02:00,
25,2000-12-15,,men,,,869,,Ali Dawani,BH,,105,343,Dawani,,2026-07-13T14:00:25+02:00,
19,2007-03-19,,men,,,1400,,Alonso Calvache,ES,,38,612,Calvache,,2026-07-13T14:00:31+02:00,
23,2003-04-03,Torres de la Alameda,men,right,185,47,,Alonso Rodriguez Martinez,ES,https://storage.googleapis.com/fantasypadeltour/player-api/alonso-rodriguez-martinez.webp,1186,51,Rodriguez,backhand,2026-07-15T08:05:02+02:00,https://fantasypadeltour.com/rankings/164/alonso-rodriguez-martinez
18,2008-03-14,,men,,,1422,,Alonso Villavicencio,CL,,35,649,Villavicencio,,2026-07-13T14:00:32+02:00,
32,1993-12-29,,men,,,2275,,Alvaro Alcalde Sanchez,ES,,10,1329,Alcalde,,2026-07-15T20:01:40+02:00,
35,1991-04-26,San Fernando,men,right,167,113,,Alvaro Cepero,ES,https://storage.googleapis.com/fantasypadeltour/player-api/alvaro-cepero.webp,1270,47,Cepero,drive,2026-07-15T08:05:02+02:00,https://fantasypadeltour.com/rankings/52/alvaro-cepero
23,2003-05-13,Alcalá de Henares,men,,175,1347,,Alvaro Del Saz Garcia,ES,,96,362,Del Saz Garcia,,2026-07-13T14:00:25+02:00,
28,1998-01-08,,men,,,818,,Alvaro Jauregui Sadaba,ES,,16,1008,Jauregui,,2026-07-13T14:00:39+02:00,
21,2004-11-15,Gijón,men,,168,182,,Alvaro Lopez Campos,ES,,85,388,Lopez,,2026-07-13T14:00:26+02:00,
24,2002-03-15,Madrid,men,,180,1409,,Alvaro Lopez Luque,ES,,280,189,Lopez,backhand,2026-07-13T14:00:21+02:00,
20,2006-06-24,,men,,,1438,,Alvaro Martinez Espi,ES,,117,321,Martinez,,2026-07-13T14:00:24+02:00,
26,2000-03-22,Sevilla,men,,175,197,,Álvaro Melendez Amaya,ES,https://storage.googleapis.com/fantasypadeltour/player-api/alvaro-melendez-amaya.webp,903,76,Melendez,backhand,2026-07-13T14:00:18+02:00,
21,2005-02-04,Barcelona,men,right,180,228,,Alvaro Montiel Caruso,IT,https://storage.googleapis.com/fantasypadeltour/player-api/alvaro-montiel-caruso.webp,976,69,Montiel,backhand,2026-07-15T08:05:03+02:00,https://fantasypadeltour.com/rankings/159/alvaro-montiel-caruso
19,2007-05-25,Cáceres,men,,175,1241,,Alvaro Pozo Marroyo,ES,,435,133,Pozo,backhand,2026-07-13T14:00:20+02:00,
27,1999-01-05,,men,,,1473,,Alvaro Ruiz Cotorro Sagastizabal,ES,,9,1406,Ruiz,,2026-07-13T14:00:44+02:00,
24,2002-05-06,,men,,,2281,,Alvaro Sein Echaluce Gomez,ES,,6,1738,Sein,,2026-07-13T14:00:47+02:00,
22,2004-03-26,Barcelona,men,,176,2416,,Alvaro Sola Sala,ES,,23,845,Sola,drive,2026-07-13T14:00:36+02:00,
26,1999-09-27,Cairo,men,,,785,,Aly Zaghloul,EG,,95,364,Zaghloul,drive,2026-07-13T14:00:25+02:00,
38,1987-08-12,Luján,men,,179,14,,Amilcar Gaston Bejarano,AR,,5,1880,Gaston,drive,2026-07-13T14:00:50+02:00,
25,2001-03-05,,men,,,1915,,Amir Mohamad Jamshidi,IR,,66,457,Mohamad,,2026-07-13T14:00:27+02:00,
20,2005-08-19,,men,,,2020,,Amit Shahar,IL,,5,1880,Shahar,,2026-07-13T14:00:49+02:00,
28,1997-12-14,,men,,,343,,Amr Mohammed Hassan,QA,,24,824,Hassan,,2026-07-13T14:00:36+02:00,
16,2009-09-16,,men,,,2076,,Andrea Di Martino,IT,,30,719,Di Martino,,2026-07-13T14:00:34+02:00,
18,2007-08-31,,men,,,1837,,Andrea Mangiante,IT,,105,343,Mangiante,drive,2026-07-13T14:00:25+02:00,
24,2001-12-30,,men,,,1483,,Andrea Melisi,IT,,16,1008,Melisi,,2026-07-13T14:00:39+02:00,
39,1987-06-21,,men,,,1478,,Andre Ferreira Van Holstein,PT,,8,1474,Ferreira,,2026-07-13T14:00:46+02:00,
28,1998-01-01,Francisco Beltrao,men,,180,1431,,Andre Freitas,BR,,19,934,Freitas,backhand,2026-07-13T14:00:38+02:00,
32,1994-06-20,,men,,,850,,André Monteiro Maia,PT,,17,983,Monteiro,,2026-07-13T14:00:39+02:00,
36,1989-12-06,,men,,,1266,,Andres Britos,IT,,78,412,Britos,,2026-07-13T14:00:26+02:00,
19,2006-08-16,,men,,,1276,,Andres Calzada Felici,ES,,122,307,Calzada,,2026-07-13T14:00:24+02:00,
34,1992-03-06,,men,,,274,,Andres Devletian,VE,,20,912,Devletian,,2026-07-13T14:00:37+02:00,
21,2005-03-02,Madrid,men,right,192,146,,Andres Fdz Lancha,ES,https://storage.googleapis.com/fantasypadeltour/player-api/andres-fdz-lancha.webp,1038,65,Fdz Lancha,backhand,2026-07-15T08:05:02+02:00,https://fantasypadeltour.com/rankings/148/andres-fdz-lancha
17,2008-10-20,,men,,,1440,,Andres Graupera,AR,,90,375,Graupera,,2026-07-13T14:00:26+02:00,
28,1997-12-09,,men,,,2468,,Andres Martinez Cuquerella,ES,,11,1253,Martinez,,2026-07-13T14:00:42+02:00,
17,2008-10-03,,men,,,819,,Andres Ortuño De Pablo,ES,,18,959,Ortuño,,2026-07-13T14:00:38+02:00,
30,1996-05-11,,men,,,1756,,Andres Valenzuela,AR,,5,1880,Valenzuela,,2026-07-13T14:00:49+02:00,
,,,men,,,2450,,Andre Thorpe,GB,,5,1880,Thorpe,,2026-07-13T14:00:49+02:00,
36,1989-10-17,,men,,,2338,,Andy Haoyang Wang,US,,3,2310,Haoyang,,2026-07-13T14:00:53+02:00,
19,2007-03-15,,men,,,1670,,Ange Gamaliel Nguessan,ZZ,,18,959,Gamaliel,,2026-07-13T14:00:38+02:00,
20,2006-07-07,,men,,,858,,Angel Deza Torrecilla,ES,,5,1880,Deza,,2026-07-13T14:00:51+02:00,
16,2010-01-23,Montijo,men,,,2046,,Anselmo Guerrero Alvarez,ES,,39,602,Guerrero,,2026-07-13T14:00:31+02:00,
24,2001-08-21,,men,,,1649,,Anthony Hyjazi,LB,,38,612,Hyjazi,,2026-07-13T14:00:31+02:00,
23,2002-11-10,,men,,,1910,,Antonio Alamillo Alcaide,ES,,37,623,Alamillo,,2026-07-13T14:00:31+02:00,
32,1993-08-04,,men,,,2365,,Antonio Campo,IT,,9,1406,Campo,,2026-07-13T14:00:44+02:00,
30,1995-08-01,,men,,,2258,,Antonio Corpas Bermudez,ES,,13,1148,Corpas,,2026-07-15T20:00:06+02:00,
28,1998-03-29,,men,,,823,,Antonio Doria,PT,,2,2883,Doria,,2026-07-13T14:00:55+02:00,
33,1992-08-16,Badajoz,men,right,180,108,,Antonio Fernandez,ES,https://storage.googleapis.com/fantasypadeltour/player-api/antonio-fernandez.webp,1039,64,Fernandez,backhand,2026-07-13T14:00:18+02:00,https://fantasypadeltour.com/rankings/31/antonio-fernandez
18,2008-02-13,,men,,,842,,Antonio Garcia Fernandez,ES,,40,588,Garcia,,2026-07-13T14:00:30+02:00,
31,1994-09-30,,men,,,2169,,Antonio Gonzalez,ES,,28,750,Gonzalez,,2026-07-13T14:00:35+02:00,
17,2008-10-20,,men,,,386,,Antonio Graupera,AR,,116,324,Graupera,,2026-07-13T14:00:24+02:00,
38,1987-09-09,Jaen,men,right,184,246,,Antonio Luque,PT,https://storage.googleapis.com/fantasypadeltour/player-api/antonio-luque.webp,366,156,Luque,backhand,2026-07-13T14:00:20+02:00,https://fantasypadeltour.com/rankings/136/antonio-luque
18,2007-12-03,Avezzano,men,,,1458,,Antonio Palma,IT,,87,382,Palma,,2026-07-13T14:00:26+02:00,
24,2001-07-26,,men,,,846,,Antonio Pedro Pragana,PT,,16,1008,Pragana,,2026-07-13T14:00:39+02:00,
22,2004-01-21,,men,,,2329,,Antonio Sánchez García,ES,,8,1474,Sánchez,,2026-07-13T14:00:45+02:00,
17,2008-07-23,,men,,,2498,,Antonio Sierra Sampaio,ES,,9,1406,Sierra,,2026-07-13T14:00:44+02:00,
,,,men,,,2487,,Antonio Sierra Sampalo,ES,,,,Sierra,,2026-07-06T04:00:56+02:00,
33,1992-11-17,,men,,,1596,,Antonio Terzo,IT,,23,845,Terzo,,2026-07-13T14:00:37+02:00,
33,1992-12-25,,men,,,1857,,Antonio Tricarico,IT,,10,1329,Tricarico,,2026-07-13T14:00:44+02:00,
23,2003-05-23,Marbella,men,,180,145,,Antonio Varo Ramos,ES,,220,214,Varo,backhand,2026-07-13T14:00:22+02:00,
22,2003-08-16,,men,,,2223,,Anton Mickelsson,SE,,17,983,Mickelsson,,2026-07-13T14:00:39+02:00,
30,1995-09-29,Tarragona,men,right,188,158,,Anton Sans,ES,https://storage.googleapis.com/fantasypadeltour/player-api/anton-sans.webp,776,86,Sans,drive,2026-07-13T14:00:19+02:00,https://fantasypadeltour.com/rankings/50/anton-sans
33,1993-06-08,Armenia,men,,173,1770,,Aram Kocharyan,AM,,52,512,Kocharyan,,2026-07-13T14:00:29+02:00,
21,2004-08-11,,men,,,749,,Argel Alexandro Albanes,MX,,23,845,Albanes,,2026-07-13T14:00:36+02:00,
24,2002-01-28,La Paz,men,,173,1469,,Ariel Williams Carrasco Paricollo,ES,,10,1329,Williams,,2026-07-13T14:00:43+02:00,
34,1991-11-12,Mar del Plata,men,right,175,150,,Aris Patiniotis,IT,https://storage.googleapis.com/fantasypadeltour/player-api/aris-patiniotis.webp,877,79,Patiniotis,drive,2026-07-15T08:05:02+02:00,https://fantasypadeltour.com/rankings/119/aris-patiniotis
32,1993-07-27,,men,,,2115,,Armand Baboian,RO,,17,983,Baboian,,2026-07-13T14:00:39+02:00,
36,1990-04-07,,men,,,1356,,Armand D Harcourt,FR,,6,1738,D Harcourt,,2026-07-13T14:00:47+02:00,
22,2004-06-06,,men,,,2362,,Armando Feo,IT,,6,1738,Feo,,2026-07-13T14:00:47+02:00,
30,1996-05-31,,men,,,2374,,Armando Soemarno,ID,,43,562,Soemarno,,2026-07-13T14:00:30+02:00,
26,2000-03-07,Vic,men,right,185,200,,Arnau Ayats,AE,https://storage.googleapis.com/fantasypadeltour/player-api/arnau-ayats.webp,425,137,Ayats,backhand,2026-07-15T08:05:02+02:00,https://fantasypadeltour.com/rankings/76/arnau-ayats
20,2006-05-01,Ripoll,men,,180,1988,,Arnau Candelo Casas,ES,,83,398,Candelo,drive,2026-07-13T14:00:26+02:00,
18,2007-09-26,,men,,,1902,,Arnau Carbonell Ortells,ES,,84,394,Carbonell,,2026-07-13T14:00:26+02:00,
25,2000-11-09,,men,,,1773,,Aron Stajszczak,PL,,31,709,Stajszczak,,2026-07-13T14:00:34+02:00,
23,2002-12-07,,men,,,1284,,Artem Matus,RU,,68,443,Matus,,2026-07-13T14:00:27+02:00,
21,2005-02-19,,men,,,1344,,Arthaud Dumoulin,FR,,34,670,Dumoulin,,2026-07-13T14:00:32+02:00,
26,2000-06-08,Nimes,men,,180,1246,,Arthur Hugounenq,FR,,181,238,Hugounenq,drive,2026-07-13T14:00:22+02:00,
19,2007-04-24,,men,,,2107,,Arthur Vanopbroeke,BE,,35,649,Vanopbroeke,,2026-07-13T14:00:32+02:00,
42,1983-11-29,,men,,,1982,,Arthur Vasarevic,HR,,19,934,Vasarevic,,2026-07-13T14:00:38+02:00,
21,2005-01-28,,men,,,2112,,Artur Fomenko,UA,,10,1329,Fomenko,,2026-07-13T14:00:44+02:00,
19,2006-08-16,,men,,,1277,,Arturo Calzada Felici,ES,,114,326,Calzada,,2026-07-13T14:00:24+02:00,
24,2002-03-08,Valladolid,men,left,190,65,,Arturo Coello,ES,https://storage.googleapis.com/fantasypadeltour/player-api/arturo-coello.webp,21409,1,Coello,drive,2026-07-13T14:00:17+02:00,https://fantasypadeltour.com/rankings/5/arturo-coello
32,1994-06-12,,men,,,742,,Arturo Sosa,MX,,7,1680,Sosa,,2026-07-15T20:04:23+02:00,
28,1998-07-01,,men,,,1788,,Aryan Hemdev,IN,,13,1148,Hemdev,,2026-07-13T14:00:41+02:00,
24,2001-08-15,,men,,,1274,,Arya Roghani,IR,,71,430,Roghani,,2026-07-13T14:00:27+02:00,
51,1975-07-09,,men,,,1865,,Asao Igarashi,JP,,13,1148,Igarashi,,2026-07-13T14:00:42+02:00,
